customer_id,name,email,sales,plan,country,signup_date
SF-10084,Solveig Virtanen,solveig.virtanen@maple-grid.com,34252,Enterprise,IT,2026-03-03
SF-10085,Hamza Yamashiro,hamza.yamashiro@tessera.cloud,567,Starter,JP,2026-04-04
SF-10086,Beatriz Fontana,beatriz.fontana@nordpath.se,1944,Growth,GB,2026-05-05
SF-10087,Tenzin Norbu,tenzin.norbu@varda.systems,10311,Scale,NO,2026-06-06
SF-10088,Aurelie Boateng,aurelie.boateng@quillbase.net,22744,Enterprise,MX,2026-07-07
SF-10089,Kasper Balogun,kasper.balogun@lumenstack.io,285,Starter,IN,2026-08-08
SF-10090,Damla Alvarado,damla.alvarado@brightloom.app,1070,Growth,GH,2026-09-09
SF-10091,Ngozi Sjoberg,ngozi.sjoberg@corvid.dev,5902,Scale,ES,2026-01-10
SF-10092,Matias Queiroz,matias.queiroz@maple-grid.com,36729,Enterprise,CZ,2026-02-11
SF-10093,Suvi Venkatesh,suvi.venkatesh@tessera.cloud,735,Starter,IE,2026-03-12
SF-10094,Idris Etxeberria,idris.etxeberria@nordpath.se,2214,Growth,NG,2026-04-13
SF-10095,Paloma Chukwu,paloma.chukwu@varda.systems,10659,Scale,SE,2026-05-14
SF-10096,Genji Adeyemi,genji.adeyemi@quillbase.net,47426,Enterprise,IT,2026-06-15
SF-10097,Rin Toprak,rin.toprak@lumenstack.io,217,Starter,JP,2026-07-16
SF-10098,Bilal Estrada,bilal.estrada@brightloom.app,1488,Growth,GB,2026-08-17
SF-10099,Sunniva Bose,sunniva.bose@corvid.dev,6314,Scale,NO,2026-09-18
SF-10100,Teodoro Yildiz,teodoro.yildiz@maple-grid.com,17756,Enterprise,MX,2026-01-19
SF-10101,Anjali Brennan,anjali.brennan@tessera.cloud,319,Starter,IN,2026-02-20
SF-10102,Kofi Lunde,kofi.lunde@nordpath.se,2426,Growth,GH,2026-03-21
SF-10103,Mireia Halvorsen,mireia.halvorsen@varda.systems,9560,Scale,ES,2026-04-22
SF-10104,Havel Thomsen,havel.thomsen@quillbase.net,19944,Enterprise,CZ,2026-05-23
SF-10105,Saoirse Lindholm,saoirse.lindholm@lumenstack.io,303,Starter,IE,2026-06-24
SF-10106,Emeka Dvorak,emeka.dvorak@brightloom.app,3326,Growth,NG,2026-07-25
SF-10107,Linnea Chandran,linnea.chandran@corvid.dev,8886,Scale,SE,2026-08-26
SF-10108,Dario Cheng,dario.cheng@maple-grid.com,38701,Enterprise,IT,2026-09-27
SF-10109,Nilufar Karimova,nilufar.karimova@tessera.cloud,772,Starter,JP,2026-01-01
SF-10110,Bjarne Marchand,bjarne.marchand@nordpath.se,2341,Growth,GB,2026-02-02
SF-10111,Chandra Puig,chandra.puig@varda.systems,5957,Scale,NO,2026-03-03
SF-10112,Iker Virtanen,iker.virtanen@quillbase.net,27599,Enterprise,MX,2026-04-04
SF-10113,Oyelaran Yamashiro,oyelaran.yamashiro@lumenstack.io,213,Starter,IN,2026-05-05
SF-10114,Katri Fontana,katri.fontana@brightloom.app,2221,Growth,GH,2026-06-06
SF-10115,Ravi Norbu,ravi.norbu@corvid.dev,10209,Scale,ES,2026-07-07
SF-10116,Solveig Boateng,solveig.boateng@maple-grid.com,40618,Enterprise,CZ,2026-08-08
SF-10117,Hamza Balogun,hamza.balogun@tessera.cloud,840,Starter,IE,2026-09-09
SF-10118,Beatriz Alvarado,beatriz.alvarado@nordpath.se,3120,Growth,NG,2026-01-10
SF-10119,Tenzin Sjoberg,tenzin.sjoberg@varda.systems,5626,Scale,SE,2026-02-11
SF-10120,Aurelie Queiroz,aurelie.queiroz@quillbase.net,25680,Enterprise,IT,2026-03-12
SF-10121,Kasper Venkatesh,kasper.venkatesh@lumenstack.io,411,Starter,JP,2026-04-13
SF-10122,Damla Etxeberria,damla.etxeberria@brightloom.app,3826,Growth,GB,2026-05-14
SF-10123,Ngozi Chukwu,ngozi.chukwu@corvid.dev,7749,Scale,NO,2026-06-15
SF-10124,Matias Adeyemi,matias.adeyemi@maple-grid.com,12254,Enterprise,MX,2026-07-16
SF-10125,Suvi Toprak,suvi.toprak@tessera.cloud,275,Starter,IN,2026-08-17
SF-10126,Idris Estrada,idris.estrada@nordpath.se,2494,Growth,GH,2026-09-18
SF-10127,Paloma Bose,paloma.bose@varda.systems,8221,Scale,ES,2026-01-19
SF-10128,Genji Yildiz,genji.yildiz@quillbase.net,27498,Enterprise,CZ,2026-02-20
SF-10129,Rin Brennan,rin.brennan@lumenstack.io,754,Starter,IE,2026-03-21
SF-10130,Bilal Lunde,bilal.lunde@brightloom.app,2091,Growth,NG,2026-04-22
SF-10131,Sunniva Halvorsen,sunniva.halvorsen@corvid.dev,9483,Scale,SE,2026-05-23
SF-10132,Teodoro Thomsen,teodoro.thomsen@maple-grid.com,34093,Enterprise,IT,2026-06-24
SF-10133,Anjali Lindholm,anjali.lindholm@tessera.cloud,461,Starter,JP,2026-07-25
SF-10134,Kofi Dvorak,kofi.dvorak@nordpath.se,2880,Growth,GB,2026-08-26
SF-10135,Mireia Chandran,mireia.chandran@varda.systems,8637,Scale,NO,2026-09-27
SF-10136,Havel Cheng,havel.cheng@quillbase.net,46141,Enterprise,MX,2026-01-01
SF-10137,Saoirse Karimova,saoirse.karimova@lumenstack.io,204,Starter,IN,2026-02-02
SF-10138,Emeka Marchand,emeka.marchand@brightloom.app,2984,Growth,GH,2026-03-03
SF-10139,Linnea Puig,linnea.puig@corvid.dev,5407,Scale,ES,2026-04-04
SF-10140,Dario Virtanen,dario.virtanen@maple-grid.com,32988,Enterprise,CZ,2026-05-05
SF-10141,Nilufar Yamashiro,nilufar.yamashiro@tessera.cloud,161,Starter,IE,2026-06-06
SF-10142,Bjarne Fontana,bjarne.fontana@nordpath.se,3706,Growth,NG,2026-07-07
SF-10143,Chandra Norbu,chandra.norbu@varda.systems,11461,Scale,SE,2026-08-08
SF-10144,Iker Boateng,iker.boateng@quillbase.net,28587,Enterprise,IT,2026-09-09
SF-10145,Oyelaran Balogun,oyelaran.balogun@lumenstack.io,497,Starter,JP,2026-01-10
SF-10146,Katri Alvarado,katri.alvarado@brightloom.app,3980,Growth,GB,2026-02-11
SF-10147,Ravi Sjoberg,ravi.sjoberg@corvid.dev,4023,Scale,NO,2026-03-12
SF-10148,Solveig Queiroz,solveig.queiroz@maple-grid.com,29541,Enterprise,MX,2026-04-13
SF-10149,Hamza Venkatesh,hamza.venkatesh@tessera.cloud,248,Starter,IN,2026-05-14
SF-10150,Beatriz Etxeberria,beatriz.etxeberria@nordpath.se,3335,Growth,GH,2026-06-15
SF-10151,Tenzin Chukwu,tenzin.chukwu@varda.systems,8395,Scale,ES,2026-07-16
SF-10152,Aurelie Adeyemi,aurelie.adeyemi@quillbase.net,15918,Enterprise,CZ,2026-08-17
SF-10153,Kasper Toprak,kasper.toprak@lumenstack.io,473,Starter,IE,2026-09-18
SF-10154,Damla Estrada,damla.estrada@brightloom.app,1847,Growth,NG,2026-01-19
SF-10155,Ngozi Bose,ngozi.bose@corvid.dev,9553,Scale,SE,2026-02-20
SF-10156,Matias Yildiz,matias.yildiz@maple-grid.com,29269,Enterprise,IT,2026-03-21
SF-10157,Suvi Brennan,suvi.brennan@tessera.cloud,145,Starter,JP,2026-04-22
SF-10158,Idris Lunde,idris.lunde@nordpath.se,1383,Growth,GB,2026-05-23
SF-10159,Paloma Halvorsen,paloma.halvorsen@varda.systems,5853,Scale,NO,2026-06-24
SF-10160,Genji Thomsen,genji.thomsen@quillbase.net,39111,Enterprise,MX,2026-07-25
SF-10161,Rin Lindholm,rin.lindholm@lumenstack.io,831,Starter,IN,2026-08-26
SF-10162,Bilal Dvorak,bilal.dvorak@brightloom.app,1940,Growth,GH,2026-09-27
SF-10163,Sunniva Chandran,sunniva.chandran@corvid.dev,9246,Scale,ES,2026-01-01
SF-10164,Teodoro Cheng,teodoro.cheng@maple-grid.com,35975,Enterprise,CZ,2026-02-02
SF-10165,Anjali Karimova,anjali.karimova@tessera.cloud,161,Starter,IE,2026-03-03
SF-10166,Kofi Marchand,kofi.marchand@nordpath.se,3572,Growth,NG,2026-04-04
SF-10167,Mireia Puig,mireia.puig@varda.systems,7876,Scale,SE,2026-05-05
SF-10168,Havel Virtanen,havel.virtanen@quillbase.net,34131,Enterprise,IT,2026-06-06
SF-20001,Trial Churned,trial.churned@corvid.dev,0,Starter,GB,2026-02-11
SF-20002,Credit Applied,credit@brightloom.app,-1450,Growth,SE,2026-03-04
SF-20003,Team Billing,accounts+team@tessera.cloud,8600,Scale,IE,2026-01-27
SF-20004,Regional Billing,ar@eu.billing.nordpath.se,15400,Enterprise,NO,2026-04-09
770412,Legacy Numeric Id,legacy@lumenstack.io,3300,Growth,JP,2025-11-30
SF-20005,Spaced Email, spaced.contact@varda.systems ,2750,Growth,CZ,2026-05-18
SF-20006,Spaced Amount,spaced.amount@quillbase.net,  9900,Scale,IN,2026-06-22
SF-20007,Aoife Ní Bhraonáin,aoife@maple-grid.com,21800,Enterprise,IE,2026-02-02
SF-20008,D'Angelo & Sons,dangelo@corvid.dev,640,Starter,IT,2026-07-14
SF-30001,Prorated Alpha,prorated.a@lumenstack.io,412.6,Starter,JP,2026-03-19
SF-30002,Prorated Bravo,prorated.b@brightloom.app,1899.99,Growth,GB,2026-04-01
SF-30003,Prorated Charlie,prorated.c@corvid.dev,7250.45,Scale,MX,2026-05-25
SF-30004,Prorated Delta,prorated.d@tessera.cloud,23110.08,Enterprise,NG,2026-06-06
SF-30005,Prorated Echo,prorated.e@nordpath.se,88.25,Starter,NO,2026-07-30
SF-30006,Prorated Foxtrot,prorated.f@varda.systems,3401.5,Growth,ES,2026-08-12
SF-30007,Prorated Golf,prorated.g@quillbase.net,645.75,Starter,CZ,2026-08-28
SF-40001,,no.name@lumenstack.io,1200,Growth,JP,2026-01-05
SF-40002,    ,blank.name@corvid.dev,830,Starter,GB,2026-01-06
SF-40003,Missing At,nobodybrightloom.app,2400,Growth,NO,2026-01-07
SF-40004,Bare Hostname,ops@intranet,5100,Scale,MX,2026-01-08
SF-40005,Whitespace Inside,first last@tessera.cloud,990,Starter,IN,2026-01-09
SF-40006,Two Ats,billing@@varda.systems,7300,Scale,GH,2026-01-10
SF-40007,No Address,,1500,Growth,ES,2026-01-11
SF-40008,Dangling Dot,ap@quillbase.,460,Starter,CZ,2026-01-12
SF-40009,Leading At,@maple-grid.com,3900,Growth,IE,2026-01-13
SF-40010,Unicode At,sales(at)nordpath.se,2600,Growth,NG,2026-01-14
SF-40011,Amount Pending,pending@lumenstack.io,pending,Scale,SE,2026-01-15
SF-40012,Amount Unknown,unknown@corvid.dev,unknown,Starter,IT,2026-01-16
SF-40013,Thousands Comma,comma@brightloom.app,"12,500",Enterprise,JP,2026-01-17
SF-40014,Currency Symbol,symbol@tessera.cloud,€4200,Scale,ES,2026-01-18
SF-40015,Percent Value,percent@varda.systems,15%,Starter,GB,2026-01-19
SF-40016,Blank Amount,blank.amount@quillbase.net,,Growth,IN,2026-01-20
,No Identifier,no.id@maple-grid.com,4400,Growth,NO,2026-01-21
   ,Blank Identifier,blank.id@nordpath.se,6100,Scale,MX,2026-01-22
SF-10001,Duplicate Of First,dupe.one@lumenstack.io,5200,Growth,JP,2026-01-23
SF-10002,Duplicate Of Second,dupe.two@corvid.dev,3100,Starter,GB,2026-01-24
SF-10003,Duplicate Of Third,dupe.three@brightloom.app,9800,Scale,NO,2026-01-25
SF-10004,Duplicate Of Fourth,dupe.four@tessera.cloud,17600,Enterprise,MX,2026-01-26
SF-50001,Pair First Bad Email,not-an-address,700,Starter,IN,2026-01-27
SF-50001,Pair Second Duplicate,pair.second@varda.systems,1100,Starter,IN,2026-01-28
SF-50002,,also-broken,n/a,Growth,GH,2026-01-29
